no,name,hp,atk,def,spatk,spdef,spd,type1,type2
1,フシギダネ,45,49,49,65,65,45,くさ,どく
2,フシギソウ,60,62,63,80,80,60,くさ,どく
3,フシギバナ,80,82,83,100,100,80,くさ,どく
4,ヒトカゲ,39,52,43,60,50,65,ほのお,-
5,リザード,58,64,58,80,65,80,ほのお,-
6,リザードン,78,84,78,109,85,100,ほのお,ひこう
7,ゼニガメ,44,48,65,50,64,43,みず,-
8,カメール,59,63,80,65,80,58,みず,-
9,カメックス,79,83,100,85,105,78,みず,-
10,キャタピー,45,30,35,20,20,45,むし,-
11,トランセル,50,20,55,25,25,30,むし,-
12,バタフリー,60,45,50,80,80,70,むし,ひこう
13,ビードル,40,35,30,20,20,50,むし,どく
14,コクーン,45,25,50,25,25,35,むし,どく
15,スピアー,65,80,40,45,80,75,むし,どく
16,ポッポ,40,45,40,35,35,56,ノーマル,ひこう
17,ピジョン,63,60,55,50,50,71,ノーマル,ひこう
18,ピジョット,83,80,75,70,70,91,ノーマル,ひこう
19,コラッタ,30,56,35,25,35,72,ノーマル,-
20,ラッタ,55,81,60,50,70,97,ノーマル,-
21,オニスズメ,40,60,30,31,31,70,ノーマル,ひこう
22,オニドリル,65,90,65,61,61,100,ノーマル,ひこう
23,アーボ,35,60,44,40,54,55,どく,-
24,アーボック,60,85,69,65,79,80,どく,-
25,ピカチュウ,35,55,30,50,40,90,でんき,-
26,ライチュウ,60,90,55,90,80,100,でんき,-
27,サンド,50,75,85,20,30,40,じめん,-
28,サンドパン,75,100,110,45,55,65,じめん,-
29,ニドラン♀,55,47,52,40,40,41,どく,-
30,ニドリーナ,70,62,67,55,55,56,どく,-
31,ニドクイン,90,82,87,75,85,76,どく,じめん
32,ニドラン♂,46,57,40,40,40,50,どく,-
33,ニドリーノ,61,72,57,55,55,65,どく,-
34,ニドキング,81,92,77,85,75,85,どく,じめん
35,ピッピ,70,45,48,60,65,35,ノーマル,-
36,ピクシー,95,70,73,85,90,60,ノーマル,-
37,ロコン,38,41,40,50,65,65,ほのお,-
38,キュウコン,73,76,75,81,100,100,ほのお,-
39,プリン,115,45,20,45,25,20,ノーマル,-
40,プクリン,140,70,45,75,50,45,ノーマル,-
41,ズバット,40,45,35,30,40,55,どく,ひこう
42,ゴルバット,75,80,70,65,75,90,どく,ひこう
43,ナゾノクサ,45,50,55,75,65,30,くさ,どく
44,クサイハナ,60,65,70,85,75,40,くさ,どく
45,ラフレシア,75,80,85,100,90,50,くさ,どく
46,パラス,35,70,55,45,55,25,むし,くさ
47,パラセクト,60,95,80,60,80,30,むし,くさ
48,コンパン,60,55,50,40,55,45,むし,どく
49,モルフォン,70,65,60,90,75,90,むし,どく
50,ディグダ,10,55,25,35,45,95,じめん,-
51,ダグトリオ,35,80,50,50,70,120,じめん,-
52,ニャース,40,45,35,40,40,90,ノーマル,-
53,ペルシアン,65,70,60,65,65,115,ノーマル,-
54,コダック,50,52,48,65,50,55,みず,-
55,ゴルダック,80,82,78,95,80,85,みず,-
56,マンキー,40,80,35,35,45,70,かくとう,-
57,オコリザル,65,105,60,60,70,95,かくとう,-
58,ガーディ,55,70,45,70,50,60,ほのお,-
59,ウインディ,90,110,80,100,80,95,ほのお,-
60,ニョロモ,40,50,40,40,40,90,みず,-
61,ニョロゾ,65,65,65,50,50,90,みず,-
62,ニョロボン,90,85,95,70,90,70,みず,かくとう
63,ケーシィ,25,20,15,105,55,90,エスパー,-
64,ユンゲラー,40,35,30,120,70,105,エスパー,-
65,フーディン,55,50,45,135,85,120,エスパー,-
66,ワンリキー,70,80,50,35,35,35,かくとう,-
67,ゴーリキー,80,100,70,50,60,45,かくとう,-
68,カイリキー,90,130,80,65,85,55,かくとう,-
69,マダツボミ,50,75,35,70,30,40,くさ,どく
70,ウツドン,65,90,50,85,45,55,くさ,どく
71,ウツボット,80,105,65,100,60,70,くさ,どく
72,メノクラゲ,40,40,35,50,100,70,みず,どく
73,ドククラゲ,80,70,65,80,120,100,みず,どく
74,イシツブテ,40,80,100,30,30,20,いわ,じめん
75,ゴローン,55,95,115,45,45,35,いわ,じめん
76,ゴローニャ,80,110,130,55,65,45,いわ,じめん
77,ポニータ,50,85,55,65,65,90,ほのお,-
78,ギャロップ,65,100,70,80,80,105,ほのお,-
79,ヤドン,90,65,65,40,40,15,みず,エスパー
80,ヤドラン,95,75,110,100,80,30,みず,エスパー
81,コイル,25,35,70,95,55,45,でんき,はがね
82,レアコイル,50,60,95,120,70,70,でんき,はがね
83,カモネギ,52,65,55,58,62,60,ノーマル,ひこう
84,ドードー,35,85,45,35,35,75,ノーマル,ひこう
85,ドードリオ,60,110,70,60,60,100,ノーマル,ひこう
86,パウワウ,65,45,55,45,70,45,みず,-
87,ジュゴン,90,70,80,70,95,70,みず,こおり
88,ベトベター,80,80,50,40,50,25,どく,-
